field id b(kpc) log10(M_*)(Msun) 
J0042-1037 358_9 15 9.32
J0226+0015 268_22 76 10.58
J0401-0540 67_24 81 9.92
J0803+4332 306_20 75 11.09
J0820+2334 260_17 28 9.51
J0910+1014 35_14 54 10.60
J0914+2823 41_27 99 9.59
J0925+4004 193_25 92 10.39
J0928+6025 110_35 89 10.56
J0935+0204 15_28 108 10.78
J0943+0531 106_34 119 10.57
J0950+4831 177_27 89 10.99
J1009+0713 204_17 59 9.63
J1016+4706 274_6 22 9.99
J1022+0132 337_29 39 8.84
J1112+3539 236_14 52 10.09
J1133+0327 110_5 18 11.00
J1157-0022 230_7 18 2.27 
J1220+3853 225_38 152 10.53
J1233+4758 50_39 195 10.90
J1233-0031 242_15 85 10.39
J1241+5721 199_6 19 9.94
J1245+3356 236_36 110 9.61
J1322+4645 349_11 36 10.57
J1330+2813 289_28 85 10.10
J1342-0053 157_10 34 10.71
J1419+4207 132_30 87 10.39
J1435+3604 68_12 38 10.87
J1437+5045 317_38 140 9.92
J1445+3428 232_33 111 10.18
J1514+3619 287_14 46 9.46
J1550+4001 197_23 101 11.11
J1555+3628 88_11 33 10.31
J1616+4154 327_30 54 8.98
J1617+0638 253_39 99 11.30
J1619+3342 113_40 95 9.89
J2257+1340 270_40 114 10.68
J2345-0059 356_12 45 10.61
